ticker,date,headline,content,source,overall_sentiment_score,overall_sentiment_label
AAPL,2023-01-02,What is TSMC?,"Taiwan Semiconductor Manufacturing Co (TSMC) is the world's largest semiconductor manufacturer, producing chips for major tech companies like Apple, Amazon, and Google. It focuses solely on manufacturing for third parties, unlike competitors, and boasts significant market dominance and advanced process technology. The article also discusses the potential impact of a Chinese invasion of Taiwan on TSMC and its global operations, as well as the company's expansion plans in the US.",Tech Monitor,0.279867,Somewhat-Bullish
AAPL,2023-01-03,Apple’s market value drops below $2 trillion,"Apple Inc.'s market capitalization fell below $2 trillion for the first time since March 2021, driven by concerns over high inflation and a slowing global economy impacting demand for its products. This significant drop follows a year after the company briefly reached a $3 trillion valuation. Analysts have downgraded Apple due to anticipated supply chain issues and reduced consumer spending on high-end phones, forecasting a potential revenue decline.",Al Jazeera,-0.184148,Somewhat-Bearish
AAPL,2023-01-03,Foxconn to use Nvidia chips to build self-driving vehicle platforms,"Electronics manufacturer Foxconn and chipmaker Nvidia Corp have partnered to develop autonomous vehicle platforms. Foxconn will manufacture electronic control units (ECUs) based on Nvidia's DRIVE Orin chip for self-driving cars, aiming to address challenges in the global automotive market. Nvidia views this collaboration as a way to scale its efforts and meet the increasing demand for chips in autonomous and connected vehicles, projecting a $300 billion market opportunity in the automotive sector.",Reuters,0.240186,Somewhat-Bullish
AAPL,2023-01-03,"If You Invested $100 in Berkshire Hathaway in 1965, This Is How Much You Would Have Today","This article illustrates the phenomenal returns of investing in Berkshire Hathaway since Warren Buffett took over in 1965. A $100 investment made then would be worth approximately $2.42 million today, significantly outperforming the S&P 500. The article details Berkshire's strategic shift from textiles to insurance, its acquisitions like GEICO and Burlington Northern Santa Fe, and its current diverse portfolio including a significant stake in Apple.",The Globe and Mail,0.197072,Somewhat-Bullish
AAPL,2023-01-03,Tuesday's ETF with Unusual Volume: IWL,"The iShares Russell Top 200 ETF (IWL) experienced unusually high trading volume on Tuesday, with shares down about 0.8%. Tesla and Apple, major components of the ETF, saw significant trading volume and share price drops, while PayPal Holdings performed best, rising 4.3%.",Nasdaq,-0.117575,Neutral
AAPL,2023-01-04,Apple to sign Luxshare for iPhone production in China - FT,Apple is reportedly set to partner with Chinese contract manufacturer Luxshare Precision Industry Co Ltd for the production of premium iPhone models. Luxshare has already been producing a small number of iPhone 14 Pro Max models to address production shortfalls at Foxconn's Zhengzhou factory last year. This move is seen as Apple's strategy to diversify its supplier base following production disruptions caused by employee unrest and COVID-19 lockdowns in China.,Reuters,0.243661,Somewhat-Bullish
AAPL,2023-01-04,Salesforce to lay off 10% of workforce to cut costs amid economic downturn,"Salesforce announced it will lay off 10% of its workforce and reduce office space to cut operating costs amid a challenging economic environment. CEO Marc Benioff admitted the company ""hired too many people"" during the pandemic's revenue surge, and the company is now facing the consequences. This move follows similar cost-cutting measures by other tech giants like Amazon, Apple, and Meta Platforms.",Fox Business,-0.301931,Somewhat-Bearish
AAPL,2023-01-05,"Android has a response to iPhone’s satellite connection, thanks to Qualcomm","Qualcomm is introducing Snapdragon Satellite service, a new emergency satellite phone service for Android smartphones. This service aims to compete with Apple's existing satellite connectivity, with specific product announcements expected by mid-year. The service requires at least one ground gateway to connect smartphones to satellites.",MarketWatch,0.24386,Somewhat-Bullish
AAPL,2023-01-05,Apple brings AI narration to audiobooks,"Apple Inc. has introduced AI-narrated audiobooks through Apple Books, utilizing text-to-speech technology to make audiobook production more accessible and affordable for publishers and authors. While the digital voices aim to reduce costs and complexity, some critics note an ""artificial edge"" compared to human narrators. Apple plans to improve the AI voices and currently offers them for select English-language romance and fiction books, with more voices and nonfiction categories in development.",SiliconANGLE,0.133698,Neutral
AAPL,2023-01-06,Apple Analyst Says BOE Will Become Largest Display Supplier for iPhone 15,"An Apple analyst in Taiwan predicts that China's BOE will become the largest display supplier for Apple's iPhone 15 series, significantly surpassing Samsung Display. BOE is expected to supply around 70% of OLED panels for the iPhone 15 and 15 Plus, and potentially 20-30% of LTPO panels for the iPhone 16. This shift indicates a growing challenge from Chinese companies to Korean dominance in the OLED display market.",Businesskorea,-0.074482,Neutral
