ticker,date,headline,content,source,headline_sentiment,content_sentiment,vader_compound,sentiment_label
AAPL,2026-02-09,Old iPhone 4 resurfaces as collector item,"An old iPhone model that Apple declared obsolete years ago is now selling for thousands of dollars, as online interest in the device has surged by 979%, according to recent data. The phone in questio… [+1358 chars]",Yugatech.com,0.0,0.2023,0.08092,positive
AAPL,2026-02-09,Affordable 5G fuels India smartphone market despite 1% dip in 2025: Report,"India's smartphone market declined 1% in 2025, but demand for affordable 5G phones surged, with Vivo leading the market and brands like iQOO and CMF posting strong growth, says CMR
File photo: Vivo … [+3360 chars]",Business Standard,0.0,0.8847,0.35388000000000003,positive
AAPL,2026-02-09,How to Backup an iPhone Without iCloud?,"Image Credit YouTube
Backing up your iPhone is crucial to protect your personal data, like messages, photos, and contacts. Though Apple has always promoted iCloud to its users for backing up their e… [+3578 chars]",Helpdeskgeek.com,0.0,0.8658,0.34632,positive
AAPL,2026-02-09,Hundreds in Brooklyn without power as temperatures plummet to single digits during record-shattering cold,"Hundreds of Brooklyn residents will have no power or heat through Monday morning as temperatures plunged into the single digits following a devastating outage that started late Saturday evening.
Rou… [+3848 chars]",New York Post,0.0,-0.7579,-0.30316000000000004,negative
AAPL,2026-02-09,"‘One of the worst, EVER!’ Trump torches Super Bowl Halftime Show as a ‘slap in the face’ to America","Bad Bunny performs during Super Bowl LX in Santa Clara, California, on Sunday, Feb. 8, 2026
PALM BEACH, Florida President Donald Trump torched the all-Spanish halftime show of Super Bowl LX on Sunda… [+3611 chars]",Wnd.com,-0.126,0.6486,0.18384,positive
AAPL,2026-02-09,Trump Calls Bad Bunny's Super Bowl Halftime Show 'Disgusting',"While Bad Bunny was expressing love during his 2026 Super Bowl halftime show, Donald Trump decided to react with hate … shocker.
Shortly after the Apple MusicSuper Bowl LX Halftime Show wrapped Sund… [+2304 chars]",Hollywood Reporter,0.1027,0.0772,0.0925,positive
AAPL,2026-02-09,Donald Trump Reacts to Bad Bunny's Super Bowl Halftime Show: 'Terrible',"Donald Trump has weighed in on Bad Bunny‘s Super Bowl Halftime Show, publicly criticizing the performance in a social media post following Sunday’s (Feb. 8) broadcast.
The president shared his react… [+3267 chars]",Billboard,0.1027,0.4939,0.25918,positive
AAPL,2026-02-09,"Rs 2 lakh crore IT rout meets India's first AI IPO: Is Fractal a better bet than TCS, Infosys and HCL Tech?","Fractal Analytics' IPO is opening at a time when the Indian IT sector is facing one of its sharpest bouts of anxiety in years. Over the past two sessions, stocks of large IT services companies such a… [+5962 chars]",The Times of India,0.4404,-0.1779,0.19307999999999997,positive
AAPL,2026-02-09,"Super Bowl LX: Bad Bunny's Halftime Message of Love, Hope Angers Trump","Posted in: Current News, NBC, NFL, Opinion, Peacock, Sports, Super Bowl, TV, TV | Tagged: bad bunny, opinion, trump
It looks like Donald Trump isn't a big fan of Bad Bunny's Super Bowl LX Halftime S… [+2829 chars]",Bleeding Cool News,0.6369,0.3265,0.51274,positive
AAPL,2026-02-09,6 Reasons Why Apple Needs to Build a Clamshell iPhone Flip (And 1 Reason It Shouldn’t),"Remember when phones got smaller? The iPhone 13 Mini had a cult following, but Apple killed it because most people wanted bigger screens. Here’s the plot twist: a clamshell foldable iPhone could brin… [+10039 chars]",Yanko Design,0.0,-0.8047,-0.32188,negative
